동아리명,공식사이트,해시태그,소속,동아리소개
KUBC,"http://kubc.net
https://www.instagram.com/kubc_/","#배드민턴, #운동, #사랑",체육분과,"짱 재밌는 배드민턴 동아리 입니다. 저희 KUBC는 고대인으로서의 인성과 배드민턴 실력 향상을 도모하며, 각종 친목활동과 다양한 과의 학생들과 두루 친해질 수 있는 기회를 가진 The Best 중앙동아리 입니다. 배드민턴 정모 및 번개, 고!연전, 타대학과의 교류전 , MT 및 합숙훈련, 전국 대학민턴 대회"
FC엘리제,https://www.instagram.com/fc_elise/?hl=en,#아마추어 #여자축구부 #fc엘리제,체육분과,고려대학교 유일 여자축구 동아리 FC엘리제/ FC엘리제는 연륜과 패기의 콤비네이션을 자랑하는 고려대 여자 축구동아리입니다. 단합력과 축구에 대한 불타는 열정 그리고 즐거울 회식 자리가 FC 엘리제만이 가지고 있는 장점이며 경기력에서는 완벽한 호흡과 철벽 수비로 FC엘리제만의 경기력을 뽐내는데 강점이라고 할 수 있습니다. 저희 동아리가 축구를 하는 이유는 축구라는 매개체를 통해 부원들 서로가 더 가까워지고 도움이 되어 하나되는 공동체를 만들 수 있기 때문이라고 할 수 있습니다 / 최근활동: 2020 KUSF클럽챔피언십 1차 전국 예선 2020 KUSF 클럽챔피언십 1차 전국 예선 결승 (우승) 2019 나이키 우먼스캠퍼스컵 우승 2019 k리그 퀸컵 준우승 2018 아마추어 고연전 우승
고려대학교 관현악단,https://www.instagram.com/kuorchestra_official/,"#아마추어오케스트라, #고대음대, #연주회",기악예술분과,"아마추어 오케스트라 / 1. 다양한 학과와 다양한 나이, 학번의 사람들이 모여 연주하고 음악을 만들어가는 동아리인 만큼 많은 경험과 소통을 나눌 수 있습니다. 2. 악기를 한번도 다뤄보지 못한 사람도 차근차근히 악기를 배워갈 수 있는 분위기와 유쾌함을 갖고 있는 동아리입니다. 3. 다양한 악기가 모여서 하나의 아름다운 음악을 만들어가는 과정에서 많은 재미를 느낄 수 있습니다. 4. 클래식 음악에 대한 관심과 지식, 교양을 기를 수 있으며 이에 대한 관심이 없는 사람도 가볍게 참여할 수 있는 많은 활동들이 있습니다."
노래얼,노래얼 유튜브 채널 https://www.youtube.com/channel/UC5Spaj4QmgEfXwEeZndQt1A 인스타그램 https://www.instagram.com/no.raeol/ 페이스북 https://www.facebook.com/noraeol2017 ,#밴드 #공연 #친목,기악예술분과,"안녕하세요! 중앙노래패 노래얼입니다. 저희 노래얼에서는 음악을 좋아하는 사람들이 모여 자유로운 분위기 속에서 다양한 장르의 음악을 하고 있습니다. 음악에 대한 열정만 있다면 노래를 못해도, 악기 연주가 처음이어도 괜찮습니다. 악기 연주 쌉고수인 기존 부원들이 레슨부터 공연 준비까지 모두 함께 하기 때문이죠. 노래얼에 들어오시면 보컬, 어쿠스틱기타, 일렉기타, 베이스, 드럼, 신디사이저 레슨을 받으실 수 있습니다. 20기수 중에도 레슨에서 처음 악기를 배우고 1년간 실력이 수직상승한 친구들이 많으니 부담 없이 지원해주세요!"
백구회,동아리 홈페이지 - http://tigers109.cafe24.com/ 페이스북 - https://www.facebook.com/kutigers109/ 인스타그램 - https://www.instagram.com/kutigers_109/,"#야구, #근본, #OneTeamOneSpirit",체육분과,"중앙야구동아리 / 백구회는 1979년에 창단하여 올해 42주년을 맞이한 고려대학교 아마최강야구동아리입니다! 녹지운동장에서 매주 진행되는 연습을 바탕으로 교내리그 및 대학아마추어야구리그(AUBL)에 참가하여 매년 좋은 성적을 유지해왔습니다. 학교를 상징하는 붉은 유니폼, 연세대 야구동아리와의 교류전, AUBL에 고려대학교 야구 동아리 중 유일하게 참가하는 등 대내외적으로 학교를 대표하고 있습니다."
농구연합회,https://www.instagram.com/nongyeon_basketball/,#basketball #team sports #뒷풀이 냠냠,체육분과,"농구를 다 같이 연습하고 연구하는 동아리 입니다 / 농구라는 팀스포츠를 통해 끈끈한 유대감이 생기고 좋은 선후배 관계를 만들어 갈수 있습니다!선배들이 뒷풀이 자리에서 맛있는걸 많이 사줘서 신입생들은 전혀 돈에대한 부담이 없습니다! 정기 훈련과 대회 출전을 통해 경험을 쌓고 농구 실력을 키울 수 있습니다! / 월금 정기 훈련을 진행하고 있고, 다 같이 주말이나 여유로운 시간대에 모여 야외 코트에 가서 농구를 진행하기도 합니다. 대회 출전 또한 매년 목표로 삼고 있으며 엠티나 뒷풀이 활동도 자주 있어서 다들 편한 분위기에서 운동하고 놀 수 있습니다."
한일문화연구회,https://kjcrs.com/,#서브컬쳐 #JLPT #소모임,언어분과,"한일 양국의 문화를 연구하며, 어학반, 서브컬처, 게임 등 다양한 소모임을 운영함으로써 상호간의 교류를 통해 친목을 다지는 동아리입니다. 무겁지 않고 즐거운 분위기를 지향하며, 가볍고 부담 없는 동아리를 지향하고 있습니다. / 1. 어학반에서 함께 공부하며 JLPT 일본어 자격증을 딸 기회가 생깁니다. 2. 게임기와 만화가 벽을 가득 채운 동아리방에 언제든지 오셔서 함께 노실 수 있습니다. 3. 첫 학기는 가입비 무료이기 때문에, 더욱 부담 없이 가입하실 수 있습니다! 4. 다양한 소모임에 참여하며 다양한 취미를 경험해보실 수 있습니다."
그루터기,https://cafe.naver.com/kuagcgeuruteogi,#통기타 #어쿠스틱 밴드 #오디션 없음,기악예술분과,"고려대학교 중앙 통기타동아리입니다! / 오디션이 없어서 기타나 어쿠스틱 밴드에 관심이 있는 분들 누구라도 동아리 활동을 하실 수 있습니다! 또 동아리 내 스쿨을 운영하여 배우고 싶은 밴드 악기를 배울 수 있습니다! / 각 학기마다 정기적으로 진행하고 있는 정기공연, 원하는 밴드 악기를 배울 수 있는 스쿨, 그리고 동아리원들 간 우정을 돈독히 할 수 있는 일일호프와 엠티가 있습니다!"
운화회,http://www.facebook.com/KUwoonwha,#반디공부방 #교육봉사 #52년 전통,사회분과,"52년의 전통을 가지고 있는, 독자적으로 반디공부방을 운영하고 있는 교육봉사동아리입니다. / 매주 정해진 요일에 공부방에서 중학교 학생들을 대상으로 수업을 진행합니다. 현재는 국어, 수학, 영어, 과학 네 과목을 수업하고 있으나 농활 회의 때 신입부원끼리의 논의를 통해 수업 과목을 수정, 추가할 수 있습니다. 반디공부방은 학업적인 측면뿐만 아니라 보육적인 측면 또한 중요시 여기고 있기에 정기적으로 테마교육과 학생상담을 실시하고 있습니다. 또한 두 달에 한 번 반디시험을 시행하여 학생들의 학업 이해도를 점검하고 있습니다."
한량회,https://www.instagram.com/kuhanryang/,#국궁 #활 #전통무예,체육분과,"우리 민족을 대표하는 무예인 국궁을 즐기는 동아리입니다. 학생들이 선조의 정신을 계승하고 한량들의 뜻을 이어 함께 국궁을 익히고 풍류를 즐기기 위해 모인 곳이 ‘한량회(閑良會)’입니다. 일주일에 두 번 국궁을 배우는 시간을 갖습니다. 두 번 중 한 번만 꾸준히 참여하셔도 국궁의 재미를 즐기실 수 있습니다. 교육 시간 후에는 원하는 사람들끼리 모여서 같이 식사를 하거나 뒤풀이를 합니다. 평상시에는 다른 사람들과 교류하며 국궁을 즐기는 것이 주 활동입니다! 그 외 행사로는 신입부원들이 정식 궁사로 인정받는 행사인 집궁례, 국궁과 술이 함께하는 MT 등이 있습니다. 다른 대학교 국궁동아리와 교류전을 가지거나, 단체로 대회에 출전하는 등의 활동도 자주 합니다!"
택견한울,https://www.facebook.com/KUtaekyun/,#고려대택견 #호신술 #운동,체육분과,"유네스코 인류무형유산 중 하나이며, 우리나라 전통 무예로 인정받은 택견을 배우고 함께 연 습하며 강한 신체와 건강한 정신을 기르는 동아리입니다. 전반적으로 체력, 근력훈련을 겸하고 있으며 택견 훈련뿐만 아니라 호신술을 배우고 다이어트에 도움을 받을 수 있는 운동 등 실용적인 측면에서 동아리를 운영하기도 합니다. / 강제성 없는 자유로운 분위기. 고려대학교 유일한 전통무술 중앙동아리"
한국화회,https://www.facebook.com/kpaint1981 https://www.instagram.com/ku_kpaint/ https://band.us/band/75055950,#붓과 먹 #도란도란 #힐링,전시창작분과,"고려대학교 중앙동아리 한국화회는 국내 유일무이한 한국화 동아리로, 1981년에 창립된 유서 깊은 미술 동아리입니다. 동아리에선 매 학기 개최되는 미전을 목표로 하여 정기모임과 강습회를 가지고 있습니다. 사군자, 산수화, 인물화 뿐만 아니라 다양한 자신만의 개성이 담긴 그림을 자유롭게 그릴 수 있습니다. 국내 유일 한국화 동아리인 고려대학교 한국화회는 한국화를 그릴 때 필요한 붓, 먹, 벼루, 종이 등 필요한 재료들을 준비해두고 있습니다. 한국화에 대해 전문적으로 배워볼 수 있는 다양한 교재와 전문 강사님과 함께하는 강습으로 한국화 실력을 향상시킬 수 있는 기회를 제공하며, 학기말에 열리는 미전에 작품을 전시함으로써 가족, 친구, 주변 지인들에게 자신의 그림실력을 대놓고 뽐낼 수 있는 자리를 마련해 줍니다."
